Team,Name,BATTLEBOX_points,BINGO_points,DROPPER_points,PARKOUR_points,SKYWARS_points,SURVIVALGAMES_points,TGTTOS_points,TNTRUN_points,BATTLEBOX_multiplier,BINGO_multiplier,DROPPER_multiplier,PARKOUR_multiplier,SKYWARS_multiplier,SURVIVALGAMES_multiplier,TGTTOS_multiplier,TNTRUN_multiplier,Total,RawTotal
Eclipsed,Mr_Diamond_2000,462.0,242.5,688.0,986.25,27.0,78.0,546.0,68.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3098.0,1581.0
Eclipsed,Samyntha,372.0,775.0,520.0,858.75,33.0,155.0,450.0,203.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3367.0,1723.0
Eclipsed,cardsandhuskers,492.0,2327.5,692.0,1127.5,228.0,72.0,498.0,126.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,5563.0,2690.0
GLIZZY GULPERS,Kodakiin,238.0,210.0,222.0,236.25,99.0,318.0,93.0,99.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,1516.0,954.0
GLIZZY GULPERS,TitaniumMuff,298.0,597.5,374.0,278.75,126.0,217.0,243.0,47.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,2181.5,1223.0
GLIZZY GULPERS,earthside,418.0,1615.0,748.0,1265.0,519.0,1116.0,495.0,396.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,6572.0,3964.0
Team 6,DrippinCauk,774.0,1357.5,660.0,1106.25,150.0,12.0,519.0,136.5,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,4715.25,2301.5
Team 6,Lord_The_Kaizer,834.0,807.5,664.0,766.25,150.0,0.0,393.0,225.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3840.5,1941.0
Team 6,R41NY__,834.0,597.5,568.0,792.5,84.0,6.0,492.0,105.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3479.0,1745.0
YOU ARE MY SUNSHINE,HIGHFLY100,402.0,1907.5,832.0,835.0,3.0,132.0,516.0,152.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,4779.75,2294.5
YOU ARE MY SUNSHINE,LegacyMrDen,462.0,1035.0,616.0,557.5,45.0,96.0,471.0,173.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3455.75,1746.5
YOU ARE MY SUNSHINE,Smart_Cookie,372.0,0.0,360.0,237.5,30.0,102.0,307.5,204.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,1613.75,934.5
iheartburgers Team,GoodGuySam,640.0,1325.0,648.0,987.5,48.0,243.0,516.0,157.5,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,4565.0,2309.0
iheartburgers Team,Zombeescott,640.0,565.0,572.0,612.5,75.0,30.0,402.0,327.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3224.25,1668.5
iheartburgers Team,iheartburgers,760.0,695.0,576.0,775.0,123.0,24.0,540.0,303.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3796.0,1965.0
outrecuidance,F3V3X,624.0,1050.0,800.0,483.75,135.0,179.0,417.0,291.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3979.75,2111.5
outrecuidance,bubbaheaton,744.0,1082.5,546.0,495.0,189.0,108.0,366.0,99.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3630.25,1883.5
outrecuidance,nxva_ii,1014.0,517.5,686.0,745.0,258.0,321.0,442.5,194.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,4178.25,2358.5
snail trail,Mztt,388.0,662.5,766.0,1081.25,198.0,101.0,528.0,619.5,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,4344.25,2338.5
snail trail,j_scotty_,208.0,0.0,278.0,277.5,222.0,18.0,306.0,89.25,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,1398.75,857.5
snail trail,snailberry,208.0,565.0,736.0,458.75,168.0,42.0,441.0,252.0,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,2870.75,1553.5
waffle house,1Smokey,104.0,937.5,438.0,457.5,117.0,66.0,381.0,262.5,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,2763.5,1441.0
waffle house,Pancake_Manz,134.0,872.5,436.0,990.0,102.0,60.0,381.0,292.5,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,3268.0,1641.0
waffle house,_savannah,104.0,597.5,330.0,217.5,135.0,54.0,271.5,99.75,2.0,2.5,2.0,2.5,1.0,1.0,1.5,1.5,1809.25,979.5
