Team,Name,BATTLEBOX_SCORE,BINGO_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BINGO_PCT,BUILDBATTLE_PCT,DROPPER_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Dig Bick Boys,GrayMan2003,0.0,20.0,294.0,14.8,170.0,45.0,0.0,63.0,0.0,0.006872852233676976,0.04250028911761304,0.0034117104656523744,0.026737967914438502,0.006880733944954129,0.0,0.011404779145546705,0.09780833282188173,1.7696923503481952,5.675806605205082,-3.9061142548568872,-2.1364219045086923,0.0
Dig Bick Boys,HIGHFLY100,123.33333333333333,360.0,294.0,290.8,230.0,120.0,389.3333333333333,393.0,0.02418300653594771,0.12371134020618557,0.04250028911761304,0.06703550023052098,0.036174897766593266,0.01834862385321101,0.0750449755846826,0.07114409847936277,0.4581427317741169,8.289392778678398,5.675806605205082,2.6135861734733155,10.902978952151713,9.334975345756183
Dig Bick Boys,cardsandhuskers,74.0,90.0,294.0,270.8,580.0,235.0,341.3333333333333,231.0,0.014509803921568627,0.030927835051546393,0.04250028911761304,0.06242508068234209,0.09122365523749607,0.035932721712538224,0.065792855307119,0.041817523533671255,0.38512976456389464,6.968334686588651,5.675806605205082,1.2925280813835691,8.26086276797222,7.4434705357525255
Haha funni,Dellphoenix,180.0,120.0,260.0,206.8,40.0,15.0,199.33333333333334,63.0,0.03529411764705882,0.041237113402061855,0.03758528969584827,0.04767173812816967,0.0062912865681031774,0.0022935779816513763,0.03842199948599332,0.011404779145546705,0.2201999020544332,3.9841808051549927,3.5070052801689187,0.4771755249860741,4.461356330141067,4.723383983226698
Haha funni,LinkMaster12,106.0,20.0,260.0,82.0,48.0,60.0,95.33333333333333,273.0,0.020784313725490194,0.006872852233676976,0.03758528969584827,0.018902720147533424,0.007549543881723813,0.009174311926605505,0.0183757388846055,0.049420709630702386,0.16866548012618607,3.051744174912872,3.5070052801689187,-0.4552611052560467,2.5964830696568253,3.3883114518313455
Haha funni,Mr_Diamond_2000,204.66666666666666,50.0,260.0,74.8,32.0,0.0,253.33333333333334,147.0,0.040130718954248364,0.01718213058419244,0.03758528969584827,0.017242969110189025,0.0050330292544825414,0.0,0.04883063479825238,0.02661115133960898,0.192615923736822,3.485090860438891,3.5070052801689187,-0.021914419730027834,3.463176440708863,4.008781774052363
PoopyNuts,TreeGameDev,326.6666666666667,260.0,283.2,165.6,224.0,180.0,116.66666666666667,252.0,0.06405228758169935,0.08934707903780069,0.040939054007170114,0.03817427385892116,0.03523120478137779,0.027522935779816515,0.02248779234130044,0.04561911658218682,0.3633737439702729,6.5746927329049605,6.48719859908849,0.08749413381647031,6.662186866721431,6.298970087604417
PoopyNuts,candleflint,400.6666666666667,0.0,283.2,242.8,346.0,210.0,229.33333333333334,284.0,0.07856209150326798,0.0,0.040939054007170114,0.05597049331489166,0.05441962881409248,0.03211009174311927,0.04420457465947057,0.05141202027516292,0.357617954317175,6.47055051285659,6.48719859908849,-0.01664808623189984,6.4539024266246905,6.149858166391062
PoopyNuts,iheartburgers,376.0,160.0,283.2,336.0,170.0,30.0,250.66666666666666,154.0,0.07372549019607844,0.054982817869415807,0.040939054007170114,0.07745504840940526,0.026737967914438502,0.0045871559633027525,0.04831662811616551,0.027878349022447502,0.35462251149842383,6.416352551503921,6.48719859908849,-0.07084604758456958,6.345506503919351,6.0722569577804695
Teal Team Six,Minearhero,228.0,190.0,308.0,208.8,386.0,600.0,101.33333333333333,217.0,0.04470588235294118,0.06529209621993128,0.04452411240892795,0.048132780082987554,0.06071091538219566,0.09174311926605505,0.01953225391930095,0.03928312816799421,0.41392428780033386,7.489327592134319,8.752359843500814,-1.2630322513664956,6.226295340767823,5.98691306190737
Teal Team Six,Pope_Dog,376.0,320.0,308.0,206.4,562.0,385.0,282.0,505.0,0.07372549019607844,0.10996563573883161,0.04452411240892795,0.04757952973720609,0.08839257628184964,0.058868501529051986,0.0543562066306862,0.09141926140477914,0.568831313927411,10.292133562168665,8.752359843500814,1.5397737186678508,11.831907280836516,10.0
Teal Team Six,foxxytwelve,302.0,20.0,308.0,169.2,462.0,745.0,290.6666666666667,421.0,0.05921568627450981,0.006872852233676976,0.04452411240892795,0.03900414937759336,0.0726643598615917,0.11391437308868502,0.056026728347468524,0.07621288921071687,0.4684351508031702,8.47561837619946,8.752359843500814,-0.2767414673013544,8.198876908898105,7.399094534692107
Team,LittleBubble64,351.3333333333333,0.0,326.4,178.0,176.0,105.0,187.33333333333334,133.0,0.06888888888888889,0.0,0.04718399444894182,0.04103273397879207,0.02768166089965398,0.016055045871559634,0.03610896941660242,0.024076755973931933,0.26102804947837077,4.72290375534177,7.369909109623819,-2.647005354282049,2.075898401059721,3.0156221618744103
Team,Ryan_7777,302.0,140.0,326.4,347.2,234.0,350.0,416.0,242.0,0.05921568627450981,0.048109965635738834,0.04718399444894182,0.08003688335638542,0.03680402642340359,0.053516819571865444,0.08018504240555127,0.04380883417813179,0.44886125229452795,8.121458587786355,7.369909109623819,0.751549478162536,8.873008065948891,7.881708559680899
Team,YellowMandy,302.0,260.0,326.4,309.6,364.0,565.0,170.66666666666666,378.0,0.05921568627450981,0.08934707903780069,0.04718399444894182,0.07136929460580914,0.05725070776973891,0.0863914373088685,0.0328964276535595,0.06842867487328023,0.5120833019725086,9.265364985743332,7.369909109623819,1.895455876119513,11.160820861862845,9.519565718942436
coolest ppl here,1Smokey,188.66666666666666,120.0,246.4,0.0,292.0,370.0,288.6666666666667,245.0,0.03699346405228758,0.041237113402061855,0.03561928992714236,0.0,0.04592639194715319,0.05657492354740061,0.05564122333590337,0.0443519188993483,0.3163443251112973,5.723767250434917,4.517219296214378,1.2065479542205386,6.9303152046554555,6.4909245686137345
coolest ppl here,Pancake_Manz,114.66666666666667,50.0,246.8,84.8,210.0,240.0,202.66666666666666,266.0,0.022483660130718956,0.01718213058419244,0.03567711344975136,0.01954817888427847,0.03302925448254168,0.03669724770642202,0.0390645078386019,0.04815351194786387,0.2518356050243707,4.556580517209597,4.517219296214378,0.03936122099521899,4.595941738204816,4.819734381529846
coolest ppl here,_savannah,65.33333333333333,50.0,246.8,118.8,152.0,225.0,60.666666666666664,98.0,0.01281045751633987,0.01718213058419244,0.03567711344975136,0.027385892116182572,0.023906888958792075,0.034403669724770644,0.011693652017476226,0.01774076755973932,0.18080057192724452,3.2713101209986206,4.517219296214378,-1.2459091752157576,2.025400945782863,2.9794707692441182
gasstationsushi,Gink0_,245.33333333333334,60.0,320.0,273.2,128.0,455.0,172.0,224.0,0.048104575163398694,0.020618556701030927,0.04625881808719787,0.06297833102812356,0.020132117017930166,0.06957186544342507,0.03315343099460293,0.04055032585083273,0.34136802028654195,6.176532783303383,7.606660597887789,-1.4301278145844059,4.746404968718977,4.927451796059294
gasstationsushi,Lord_Beaker,294.6666666666667,200.0,320.0,363.6,304.0,830.0,419.3333333333333,224.0,0.05777777777777778,0.06872852233676977,0.04625881808719787,0.08381742738589212,0.04781377791758415,0.12691131498470948,0.08082755075815985,0.04055032585083273,0.5526855150989238,10.000000000000002,7.606660597887789,2.393339402112213,12.393339402112215,10.401932195201072
