Team,Name,BATTLEBOX_SCORE,BINGO_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVAL_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BINGO_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVAL_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Not It,HIGHFLY100,74.0,349.0,187.0,193.5,104.0,56.0,256.0,117.0,0.009237298714267882,0.052019675063347745,0.027219796215429404,0.024793388429752067,0.018207282913165267,0.009435551811288963,0.04032131044258938,0.017707150964812714,0.19894145455465342,5.2018832208101,4.135394694547171,1.066488526262929,6.2683717470730285,5.625696053430717
Not It,Zombeescott,95.0,0.0,188.5,311.0,152.0,32.0,246.0,49.5,0.011858694295343902,0.0,0.027438136826783116,0.03984880517650074,0.02661064425770308,0.005391743892165122,0.03874625925342574,0.007491486946651533,0.15738577064857323,4.11529312160611,4.135394694547171,-0.020101572941060297,4.09519154866505,4.196447703562303
Not It,distractedm1nd,74.0,138.0,69.5,36.5,164.0,24.0,124.0,112.5,0.009237298714267882,0.02056938440900283,0.010116448326055313,0.004676789031968736,0.028711484593837534,0.004043807919123841,0.019530634745629234,0.0170261066969353,0.11391195443682067,2.9785480646106075,4.135394694547171,-1.1568466299365632,1.8217014346740443,2.7012279347441344
Not It,maxsm_,95.0,138.0,159.0,108.5,120.0,16.0,141.0,310.5,0.011858694295343902,0.02056938440900283,0.02314410480349345,0.0139022358895509,0.02100840336134454,0.002695871946082561,0.022208221767207433,0.04699205448354143,0.16237897095556705,4.245854371161865,4.135394694547171,0.11045967661469458,4.35631404777656,4.368181691034693
Team Epic,MoMo0976,190.0,195.0,256.5,164.0,224.0,272.0,230.0,252.0,0.023717388590687803,0.029065434490982263,0.037336244541484716,0.021013517842270485,0.0392156862745098,0.04582982308340354,0.0362261773507639,0.038138479001135074,0.2705427511752376,7.0741002723675495,7.699611906978912,-0.6255116346113629,6.4485886377561865,5.7442203680807475
Team Epic,Mr_Diamond_2000,148.0,122.0,294.0,322.5,132.0,256.0,248.0,229.5,0.018474597428535765,0.018184528245640184,0.04279475982532751,0.04132231404958678,0.023109243697478993,0.04313395113732098,0.03906126949125847,0.034733257661748014,0.2608139215368967,6.819712690015264,7.699611906978912,-0.8798992169636488,5.939813473051615,5.409611178681384
Team Epic,Samyntha,190.0,252.0,283.5,462.0,256.0,440.0,236.0,265.5,0.023717388590687803,0.03756148457296169,0.04126637554585153,0.05919661733615222,0.04481792717086835,0.07413647851727043,0.037171208064262086,0.04018161180476731,0.35804909160282145,9.362199376718335,7.699611906978912,1.6625874697394227,11.024786846457758,8.753875868921844
Team Epic,iheartburgers,169.0,292.0,336.0,215.0,212.0,208.0,270.0,216.0,0.021095993009611784,0.04352362498136831,0.04890829694323144,0.027548209366391185,0.03711484593837535,0.03504633529907329,0.04252638210741849,0.03269012485811578,0.28845381250358565,7.542435288814503,7.699611906978912,-0.1571766181644092,7.385258670650094,6.360245721093597
balllickers,Cxxdii,391.0,365.0,225.5,376.5,232.0,216.0,268.0,243.0,0.04880788915241543,0.054404531226710386,0.03282387190684134,0.0482413991927734,0.04061624649859944,0.03639427127211457,0.04221137186958576,0.03677639046538025,0.3402759715844205,8.897471223342112,7.7268847938556515,1.1705864294864607,10.068057652828573,8.124658088331362
balllickers,Pebbleleaf,307.0,227.0,215.5,419.5,208.0,152.0,186.0,272.0,0.038322306828111344,0.03383514681770756,0.031368267831149925,0.053751041066051636,0.036414565826330535,0.025610783487784332,0.02929595211844385,0.04116534241392357,0.28976340638950276,7.5766783000384725,7.7268847938556515,-0.150206493817179,7.4264718062212935,6.387350609151749
balllickers,SeasonPower,286.0,81.0,257.5,134.5,124.0,72.0,134.0,171.0,0.035700911247035325,0.012073334327023401,0.03748180494905386,0.017233647254788903,0.021708683473389355,0.012131423757371525,0.02110568593479288,0.025879682179341657,0.18331517312279694,4.793290193449381,7.7268847938556515,-2.9335946004062707,1.85969559304311,2.726215778915275
balllickers,dripN_,559.0,520.0,307.0,415.0,84.0,168.0,295.0,225.0,0.06977905380102359,0.07750782530928603,0.04468704512372634,0.05317445063745275,0.014705882352941176,0.02830665543386689,0.04646401008032761,0.0340522133938706,0.36867713613249503,9.64009945859264,7.7268847938556515,1.913214664736989,11.55331412332963,9.10147554744043
losers queue,0_0shiro,570.0,171.0,224.5,443.0,164.0,344.0,338.0,373.0,0.07115216577206342,0.02548815024593829,0.032678311499272195,0.05676212441540137,0.028711484593837534,0.05796124684077506,0.0532367301937313,0.056451002648505486,0.3824412162095247,10.0,7.0804743653766185,2.9195256346233815,12.919525634623382,10.0
losers queue,GrayMan2003,318.0,0.0,97.5,5.0,68.0,64.0,40.0,54.0,0.039695418799151165,0.0,0.014192139737991267,0.0006406560317765392,0.011904761904761904,0.010783487784330244,0.006300204756654592,0.008172531214528945,0.09168920022919466,2.397471724882333,7.0804743653766185,-4.683002640494285,-2.285530915611952,0.0
