Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
better team,Mu7u,480.0,168.5,285.0,108.0,342.0,380.0,244.5,291.0,0.05517241379310345,0.023965296543877114,0.0386755326367214,0.014199316329213778,0.04185534206339493,0.029505396381706656,0.03596646072374228,0.03688212927756654,0.2762218877493262,7.705553922761701,7.155621937857676,0.549931984904025,8.255485907665726,6.014349184268462
better team,Zombeescott,360.0,168.5,253.0,152.0,248.0,375.0,219.0,188.0,0.041379310344827586,0.023965296543877114,0.03433301669154566,0.01998422298185643,0.030351242198017377,0.029117167481947356,0.032215357458075904,0.023827629911280103,0.23517324361142752,6.560450819462799,7.155621937857676,-0.5951711183948767,5.965279701067923,4.025206286975622
better team,kaylinnn,500.0,168.5,232.0,529.0,631.0,496.0,292.5,136.0,0.05747126436781609,0.023965296543877114,0.03148324060252409,0.06955035498290824,0.07722432994737487,0.03851230685612237,0.04302736098852604,0.01723700887198986,0.3584711631611387,10.0,7.155621937857676,2.844378062142324,12.844378062142324,10.0
placeholder name,Mr_Diamond_2000,110.0,216.0,285.0,213.0,112.0,268.0,241.5,280.0,0.01264367816091954,0.030721092305504197,0.0386755326367214,0.028004207204838285,0.013707012605556235,0.02080906902709838,0.03552515445719329,0.035487959442332066,0.2155737058401634,6.013697278719723,6.026284389368733,-0.012587110649009858,6.0011101680707135,4.056326593409148
placeholder name,Pancake_Manz,110.0,216.0,148.0,283.0,104.0,470.0,246.0,322.0,0.01264367816091954,0.030721092305504197,0.02008413624643778,0.03720746778858796,0.012727940276587933,0.03649351657737402,0.03618711385701677,0.04081115335868188,0.2268760985711101,6.328991614567489,6.026284389368733,0.3027072251987555,6.631698839766244,4.604020060400424
placeholder name,Pope_Dog,70.0,216.0,286.0,176.0,291.0,513.0,177.0,211.0,0.008045977011494253,0.030721092305504197,0.03881123626000814,0.0231396266105706,0.035613755966222,0.039832285115303984,0.026037069726390114,0.026742712294043094,0.2289437552895364,6.386671476461898,6.026284389368733,0.3603870870931649,6.747058563555063,4.704214957500575
placeholder name,SeasonPower,90.0,216.0,142.0,214.0,128.0,450.0,144.0,256.0,0.010344827586206896,0.030721092305504197,0.01926991450671733,0.02813568235603471,0.01566515726349284,0.03494060097833683,0.02118270079435128,0.03244613434727503,0.1927061101379191,5.375777187725824,6.026284389368733,-0.6505072016429096,4.725269986082914,2.9482043515033034
team,LittleBubble64,240.0,224.75,213.0,209.0,388.0,344.0,84.0,52.0,0.027586206896551724,0.0319655809984355,0.028904871760075994,0.02747830660005259,0.047485007954962674,0.026710148303439707,0.01235657546337158,0.006590621039290241,0.20907731901617999,5.832472469262368,6.672632812317225,-0.8401603430548574,4.99231212620751,3.1801419712584336
team,Ryan_7777,160.0,224.75,184.0,40.0,688.0,386.0,207.0,156.0,0.01839080459770115,0.0319655809984355,0.024969466684760484,0.005259006047856955,0.08420022029127401,0.029971271061417813,0.030450132391879964,0.01977186311787072,0.2449783451911966,6.833976351985523,6.672632812317225,0.16134353966829806,6.995319891653821,4.919840631746622
team,TheWander02,240.0,224.75,75.0,137.0,372.0,514.0,132.0,116.0,0.027586206896551724,0.0319655809984355,0.010177771746505632,0.018012095713910072,0.04552686329702607,0.039909930895255845,0.019417475728155338,0.014702154626108998,0.20729807990194918,5.782838376005304,6.672632812317225,-0.889794436311921,4.893043939693383,3.0939232685220324
team,YellowMandy,280.0,224.75,226.0,124.0,739.0,317.0,229.5,280.0,0.03218390804597701,0.0319655809984355,0.030669018862803637,0.01630291874835656,0.09044180638844694,0.0246137122447395,0.033759929390997354,0.035487959442332066,0.29542483412208853,8.241244052015704,6.672632812317225,1.5686112396984786,9.809855291714182,7.3643860548097075
team crafted,GoodGuySam,260.0,198.5,198.0,346.0,361.0,226.0,273.0,112.0,0.029885057471264367,0.028232114919641588,0.02686931741077487,0.04549040231396266,0.04418063884469465,0.017547946269120273,0.040158870255957636,0.014195183776932827,0.24655953126234886,6.878085508694497,5.738554689788578,1.1395308189059188,8.017616327600415,5.807749191522902
team crafted,ThatOneAsianBoi,200.0,198.5,227.0,124.0,0.0,300.0,172.5,220.0,0.022988505747126436,0.028232114919641588,0.03080472248609038,0.01630291874835656,0.0,0.023293733985557886,0.025375110326566638,0.02788339670468948,0.17488050291802895,4.87850965126077,5.738554689788578,-0.860045038527808,4.018464612732962,2.334313390891486
team crafted,maxsm_,240.0,198.5,122.0,124.0,219.0,405.0,214.5,104.0,0.027586206896551724,0.028232114919641588,0.016555842040982493,0.01630291874835656,0.026802105005507282,0.031446540880503145,0.03155339805825243,0.013181242078580482,0.19166036862837568,5.34660492459811,5.738554689788578,-0.39194976519046776,4.9546551594076425,3.1474352709500697
team crafted,snailberry,160.0,198.5,290.0,124.0,72.0,362.0,193.5,332.0,0.01839080459770115,0.028232114919641588,0.03935405075315511,0.01630291874835656,0.008811650960714722,0.02810777234257318,0.02846425419240953,0.04207858048162231,0.20974214699617413,5.851018674600935,5.738554689788578,0.11246398481235698,5.963482659413292,4.023645478768417
