Team,Name,BATTLEBOX_SCORE,BINGO_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BINGO_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Eclipsed,Mr_Diamond_2000,231.0,97.0,344.0,394.5,27.0,78.0,364.0,45.5,0.0400832899531494,0.011920855352095366,0.05001453911020646,0.059309930090956926,0.008272058823529412,0.021971830985915493,0.05451550097349109,0.013852945653828589,0.2599409509431727,5.63666106821724,7.230718531471094,-1.5940574632538542,4.042603604963386,3.1953672532966664
Eclipsed,Samyntha,186.0,310.0,260.0,343.5,33.0,155.0,300.0,135.5,0.032274856845393024,0.03809757896030478,0.03780168653678395,0.051642486657145006,0.01011029411764706,0.04366197183098591,0.04493035794518496,0.041254376617445576,0.29977360951089027,6.500407988344988,7.230718531471094,-0.7303105431261061,5.770097445218882,4.495168765612931
Eclipsed,cardsandhuskers,246.0,931.0,346.0,451.0,228.0,72.0,332.0,84.0,0.04268610098906819,0.11441563229691533,0.050305321314335565,0.06780425467939563,0.06985294117647059,0.02028169014084507,0.049722929459338025,0.025574668899375857,0.44064353895574426,9.555086537851054,7.230718531471094,2.3243680063799594,11.879454544231013,9.091973345478527
GLIZZY GULPERS,Kodakiin,119.0,84.0,111.0,94.5,99.0,318.0,62.0,66.5,0.02064896755162242,0.010323214944082585,0.016138412329165457,0.01420732165676915,0.030330882352941176,0.0895774647887324,0.009285607308671558,0.020246612878672552,0.2107584838106573,4.570169248752713,9.344519647844747,-4.774350399092034,-0.2041811503393216,0.0
GLIZZY GULPERS,TitaniumMuff,149.0,239.0,187.0,111.5,126.0,217.0,162.0,31.5,0.025854589623460003,0.029372004424234977,0.027188136086071533,0.016763136134706456,0.03860294117647059,0.06112676056338028,0.02426239329039988,0.009590500837265946,0.2327604621359897,5.047268736925598,9.344519647844747,-4.297250910919149,0.7500178260064487,0.7179587235584167
GLIZZY GULPERS,earthside,209.0,646.0,374.0,506.0,519.0,1116.0,330.0,264.0,0.03626583376713517,0.07939043873663512,0.05437627217214307,0.07607306622566339,0.15900735294117646,0.3143661971830986,0.04942339373970346,0.08037753082660984,0.8492800855921651,18.416120957855927,9.344519647844747,9.07160131001118,27.487722267867106,20.835951540398625
Team 6,DrippinCauk,387.0,543.0,330.0,442.5,150.0,12.0,346.0,91.0,0.06715252472670484,0.06673221088853386,0.047979063681302704,0.06652634744042697,0.04595588235294118,0.0033802816901408453,0.05181967949677999,0.027705891307657177,0.3772518815844875,8.180477089598151,7.2513500250006,0.9291270645975507,9.1096041541957,7.007881557732866
Team 6,Lord_The_Kaizer,417.0,323.0,332.0,306.5,150.0,0.0,262.0,150.5,0.07235814679854242,0.03969521936831756,0.04826984588543181,0.04607983161692851,0.04595588235294118,0.0,0.0392391792721282,0.04582128177804841,0.3374193870723381,7.316733726915394,7.2513500250006,0.06538370191479359,7.382117428830187,5.708085398804583
Team 6,R41NY__,417.0,239.0,284.0,317.0,84.0,6.0,328.0,70.0,0.07235814679854242,0.029372004424234977,0.041291072986333235,0.04765842291212508,0.025735294117647058,0.0016901408450704226,0.04912385802006889,0.021312224082813212,0.28854116418683523,6.256839258488256,7.2513500250006,-0.9945107665123443,5.262328491975912,4.113113074326155
YOU ARE MY SUNSHINE,HIGHFLY100,201.0,763.0,416.0,334.0,3.0,132.0,344.0,101.5,0.034877667881311816,0.09376920240875015,0.06048269845885432,0.050214237390062394,0.0009191176470588235,0.03718309859154929,0.05152014377714542,0.030902724920079158,0.3598688910748114,7.80353753659751,6.036005320068996,1.7675322165285143,9.571069753126025,7.355097663165031
YOU ARE MY SUNSHINE,LegacyMrDen,231.0,414.0,308.0,223.0,45.0,96.0,314.0,115.5,0.0400832899531494,0.05087870222440703,0.044780459435882526,0.03352627226941291,0.013786764705882353,0.027042253521126762,0.04702710798262693,0.0351651697366418,0.2922900198291297,6.338130907890228,6.036005320068996,0.3021255878212328,6.640256495711461,5.149894139116236
YOU ARE MY SUNSHINE,Smart_Cookie,186.0,0.0,180.0,95.0,30.0,102.0,205.0,136.5,0.032274856845393024,0.0,0.026170398371619656,0.01428249267082613,0.009191176470588236,0.02873239436619718,0.03070241126254306,0.04155883696148577,0.18291256694865304,3.9663475157192485,6.036005320068996,-2.069657804349747,1.8966897113695014,1.5807379798392964
iheartburgers Team,GoodGuySam,320.0,530.0,324.0,395.0,48.0,243.0,344.0,105.0,0.055526635432934235,0.06513457048052107,0.04710671706891538,0.05938510110501391,0.014705882352941176,0.06845070422535211,0.05152014377714542,0.03196833612421982,0.3937980905670432,8.539271545262611,7.532066049611696,1.0072054956509158,9.546477040913526,7.336593606142728
iheartburgers Team,Zombeescott,320.0,226.0,286.0,245.0,75.0,30.0,268.0,218.5,0.055526635432934235,0.027774364016222196,0.04158185519046234,0.03683379688792002,0.02297794117647059,0.008450704225352112,0.0401377864310319,0.06652458517278124,0.29980766853317464,6.501146537481764,7.532066049611696,-1.0309195121299313,5.470227025351833,4.269540160659725
iheartburgers Team,iheartburgers,380.0,278.0,288.0,310.0,123.0,24.0,360.0,202.0,0.0659378795766094,0.03416492564827332,0.041872637394591454,0.04660602871532737,0.03768382352941176,0.0067605633802816905,0.05391642953422195,0.06150098949611813,0.3484432772748351,7.555780066090712,7.532066049611696,0.023714016479016387,7.579494082569728,5.856595608825728
outrecuidance,F3V3X,312.0,420.0,400.0,193.5,135.0,179.0,278.0,194.0,0.05413846954711088,0.05161607472041293,0.05815644082582146,0.029091182440051117,0.04136029411764706,0.050422535211267605,0.04163546502920473,0.05906530674379662,0.3854857686353124,8.359023911140053,8.521870244094016,-0.1628463329539631,8.19617757818609,6.320600817726546
outrecuidance,bubbaheaton,372.0,433.0,273.0,198.0,189.0,108.0,244.0,66.5,0.06454971369078605,0.05321371512842571,0.039691770863623146,0.02976772156656393,0.057904411764705885,0.030422535211267605,0.036543357795417106,0.020246612878672552,0.332339838899462,7.206586821141998,8.521870244094016,-1.3152834229520183,5.891303398189979,4.586366590636877
outrecuidance,nxva_ii,507.0,207.0,343.0,298.0,258.0,321.0,295.0,129.5,0.08797501301405518,0.025439351112203516,0.0498691480081419,0.04480192437795986,0.07904411764705882,0.0904225352112676,0.044181518646098546,0.03942761455320445,0.4611612225699898,10.0,8.521870244094016,1.478129755905984,11.478129755905984,8.790008409546989
snail trail,Mztt,194.0,265.0,383.0,432.5,198.0,101.0,352.0,413.0,0.03366302273121638,0.032567285240260535,0.05568479209072405,0.06502292715928738,0.06066176470588235,0.028450704225352112,0.05271828665568369,0.12574212208859795,0.4545109048970044,9.855791915115411,6.625321602203253,3.230470312912158,13.086262228027568,10.0
snail trail,j_scotty_,104.0,0.0,139.0,111.0,222.0,18.0,204.0,59.5,0.018046156515703626,0.0,0.02020936318697296,0.01668796512064948,0.06801470588235294,0.0050704225352112674,0.030552643402725774,0.01811539047039123,0.1766966471140073,3.831559083161861,6.625321602203253,-2.793762519041392,1.0377965641204687,0.9344893011480575
snail trail,snailberry,104.0,226.0,368.0,183.5,168.0,42.0,294.0,168.0,0.018046156515703626,0.027774364016222196,0.05350392555975574,0.027587762158911525,0.051470588235294115,0.011830985915492958,0.044031750786281264,0.051149337798751714,0.2853948709864131,6.188613808332488,6.625321602203253,-0.43670779387076486,5.751906014461723,4.481481162995572
waffle house,1Smokey,52.0,375.0,219.0,183.0,117.0,66.0,254.0,175.0,0.009023078257851813,0.046085781000368684,0.03184065135213725,0.027512591144854544,0.035845588235294115,0.018591549295774647,0.03804103639358994,0.053280560207033034,0.26022083588690403,5.642730202611749,5.283189718370512,0.3595404842412373,6.002270686852986,4.669860636323593
waffle house,Pancake_Manz,67.0,349.0,218.0,396.0,102.0,60.0,254.0,195.0,0.011625889293770605,0.04289050018434312,0.031695260250072695,0.05953544313312786,0.03125,0.016901408450704224,0.03804103639358994,0.05936976708783681,0.2913093047934453,6.316864700158819,5.283189718370512,1.033674981788307,7.350539681947126,5.684325659581389
waffle house,_savannah,52.0,239.0,165.0,87.0,135.0,54.0,181.0,66.5,0.009023078257851813,0.029372004424234977,0.023989531840651352,0.013079756445914456,0.04136029411764706,0.015211267605633802,0.027107982626928262,0.020246612878672552,0.17939052819753426,3.8899742523409677,5.283189718370512,-1.393215466029544,2.496758786311424,2.0322421605942185
